Code,Date,Open,High,Low,Close,Volume
AMD,20260722,0.005,0.006,0.005,0.005,950235
AMH,20260722,0.93,0.94,0.93,0.93,163518
AMI,20260722,0.325,0.355,0.3225,0.33,12105703
AMN,20260722,0.052,0.055,0.052,0.055,50918
AMO,20260722,0.085,0.085,0.085,0.085,0
AMP,20260722,2.08,2.165,2.075,2.13,22915513
AMS,20260722,0.009,0.009,0.009,0.009,2000
AMU,20260722,0.074,0.074,0.07,0.072,108819
AMUOC,20260722,0.005,0.005,0.005,0.005,0
AMX,20260722,0.27,0.27,0.27,0.27,0
AN1,20260722,0.006,0.006,0.006,0.006,0
AN3PI,20260722,103.23,103.23,102.97,102.991,7412
AN3PJ,20260722,103.6,103.63,102.89,103.25,10664
AN3PK,20260722,103.92,104,103.89,104,9206
AN3PL,20260722,105.5,105.5,105.05,105.17,9417
ANG,20260722,0.15,0.15,0.15,0.15,222712
ANN,20260722,31.8,32.02,31.55,32.02,363242
ANO,20260722,0.8,0.8,0.8,0.8,0
ANR,20260722,0.01,0.011,0.01,0.011,1000099
ANX,20260722,0.027,0.029,0.027,0.029,1005458
ANXO,20260722,0.011,0.011,0.011,0.011,291400
ANZ,20260722,35.68,35.81,35.42,35.73,2415567
AOA,20260722,0.0015,0.0015,0.0015,0.0015,1500000
AOK,20260722,0.0025,0.0025,0.0025,0.0025,6000000
AON,20260722,0.051,0.054,0.049,0.054,4816590
AOV,20260722,6.47,6.68,6.435,6.63,319923
APA,20260722,10.09,10.2,10.05,10.16,2418973
APC,20260722,0.009,0.009,0.008,0.008,1318150
APCO,20260722,0.001,0.001,0.001,0.001,0
APE,20260722,20.9,21.57,20.9,21.28,501874
APL,20260722,0.265,0.265,0.265,0.265,0
APW,20260722,3.92,3.92,3.92,3.92,0
APX,20260722,0.92,0.96,0.91,0.935,2202153
APZ,20260722,4.92,4.97,4.88,4.96,229558
AQC,20260722,0.0065,0.0065,0.0065,0.0065,0
AQD,20260722,0.04,0.044,0.04,0.043,1504008
AQLT,20260722,34.1,34.21,34.035,34.04,81521
AQN,20260722,0.385,0.4,0.37,0.37,147113
AQTY,20260722,20.24,20.27,20.23,20.23,308
AQX,20260722,0.006,0.006,0.006,0.006,0
AQXO,20260722,0.002,0.002,0.002,0.002,0
AQXOC,20260722,0.001,0.001,0.001,0.001,0
AQZ,20260722,0.53,0.535,0.52,0.52,383429
AR1,20260722,0.067,0.07,0.065,0.066,6119350
AR3,20260722,0.105,0.105,0.1,0.105,696335
AR9,20260722,0.058,0.058,0.058,0.058,309575
ARA,20260722,0.48,0.48,0.48,0.48,0
ARB,20260722,17.6,17.98,17.48,17.71,201092
ARC,20260722,0.075,0.075,0.075,0.075,0
ARD,20260722,0.022,0.023,0.021,0.021,3671728
ARDOC,20260722,0.013,0.013,0.013,0.013,0
ARF,20260722,3.24,3.24,3.19,3.2,950649
ARG,20260722,8.98,8.99,8.95,8.99,262800
ARI,20260722,0.025,0.026,0.024,0.024,278672
ARL,20260722,0.43,0.46,0.43,0.45,87215
ARMR,20260722,22.2,22.3,22.07,22.07,32343
ARN,20260722,0.28,0.28,0.27,0.27,70212
ARNO,20260722,0.32,0.32,0.32,0.32,0
ARR,20260722,0.335,0.35,0.335,0.34,506863
